"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D19,D18,D28,D27,D25,D6,D4,D3,D15,D1,D21,D9,D2,D16,D23,D14,D22,D24,D8,D7,D11,D5,D13,D17,D12,D20,D10,D26";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";28;"WS2812B_5050";;;
2;"LED,GND,SWIO";"TestPoint_Pad_D3.0mm";3;"1.25mm";;;
3;"C2,C1";"C_0603_1608Metric";2;"22uF";;;
4;"R1";"R_0603_1608Metric";1;"68k";;;
5;"R2";"R_0603_1608Metric";1;"5.6k";;;
6;"D29";"D_SOD-323_HandSoldering";1;"1N5819WS";;;
7;"C4";"C_0603_1608Metric";1;"10uF";;;
8;"U1";"JEITA_SOIC-8_3.9x4.9mm_P1.27mm";1;"CH32V003JxMx";;;
9;"C3";"C_0603_1608Metric";1;"0.1uF";;;
10;"R3";"R_0603_1608Metric";1;"10k";;;
11;"R4";"R_0603_1608Metric";1;"1k";;;
12;"U2";"SOT-23-6";1;"MT3608";;;
13;"L1";"L_1206_3216Metric_Pad1.22x1.90mm_HandSolder";1;"4.7u";;;
14;"BT1";"BatteryHolder_Multicomp_BC-2001_1x2032";1;"Battery_Cell";;;
